0x0049e5ce 0x0049e5d2 
0x00400bb0 0x00410480 
0x00415983 0x00415985 
0x004735a2 0x004735a6 
0x00474c50 0x00474c52 
0x00400e1a 0x00400e20 
0x0041054a 0x0041054d 
0x00473758 0x0047375c 
0x0041f99a 0x0041f99b 
0x00400e7a 0x00400e7f 
0x00413e13 0x00413e16 
0x00412f4b 0x0043fc90 
0x0040f14b 0x0040f14e 
0x0041f8f8 0x0041f8fb 
0x00473430 0x00473434 
0x0040197a 0x004016e0 
0x0042ccab 0x0042ccae 
0x00443ab6 0x00443aba 
0x004159fb 0x004159fd 
0x00444566 0x00444569 
0x00401781 0x00401786 
0x004008ad 0x004008b4 
0x0049e59d 0x0049e59f 
0x004632b3 0x004632b8 
0x00414923 0x0041488a 
0x00400e83 0x00444dc0 
0x00443e2e 0x00443e35 
0x0040ee60 0x0040ee64 
0x00401794 0x00401797 
0x00400892 0x00400895 
0x00413733 0x00413736 
0x004632ae 0x00415960 
0x0041be02 0x0041be05 
0x004271a1 0x004271a5 
0x0049e39c 0x0049e3a4 
0x00400cac 0x00400caf 
0x00414f98 0x00414f99 
0x00414e9c 0x00414e9e 
0x0040f378 0x0040f37a 
0x0049e499 0x0049e4a0 
0x0041050c 0x00410578 0x0041050e 
0x00444014 0x00443df0 
0x00474cae 0x00474cb2 
0x0040f3ba 0x0040f3bc 
0x0040ef38 0x0040efdb 
0x0041bf37 0x0041bddf 
0x00421c6a 0x00400ddb 
0x00414fba 0x00414fc2 
0x0041049c 0x004104a1 
0x00473365 0x00473369 
0x0046b07d 0x0046b083 
0x004271ac 0x004271ba 0x004271ae 
0x0041bce9 0x0041bcec 
0x00440718 0x004406cf 
0x00413738 0x0041373b 
0x0047377b 0x0047377f 
0x0041c29e 0x0041c2a1 
0x0046e7e2 0x0046e7e6 
0x004a1434 0x004a1438 
0x00443ea8 0x00443eaa 
0x00444df0 0x00444df7 
0x004014f6 0x004014f8 
0x0049e590 0x0049e593 
0x0041ccce 0x0041ccd2 
0x004271f9 0x004271fb 
0x0041fcf4 0x00474d7b 
0x0041f970 0x0041f973 
0x00401105 0x004014e3 
0x00413604 0x00413607 
0x004002c8 0x004002cc 
0x00412fc8 0x00412fca 
0x0040ee97 0x0040eea5 
0x00473061 0x00473065 
0x00414f40 0x00414f48 
0x0049e63c 0x0049e64f 
0x004101a9 0x004101ac 
